model_name,n_mfcc,f1,accuracy,precision,recall,roc_auc,model_size_mb,train_time_sec,best_params
AdaBoost,128,0.6454183266932271,0.7802469135802469,0.6982758620689655,0.6,0.8312482853223594,0.10683631896972656,33.06194879999384,"{'learning_rate': 1.0, 'n_estimators': 200}"
Decision Tree,32,0.6486486486486487,0.7432098765432099,0.5962732919254659,0.7111111111111111,0.7625788751714677,0.015488624572753906,1.1276963003911078,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}"
Extra Trees,32,0.7489711934156379,0.8493827160493828,0.8425925925925926,0.674074074074074,0.89519890260631,5.19000244140625,4.537178799975663,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}"
Gradient Boosting,64,0.7327586206896551,0.8469135802469135,0.8762886597938144,0.6296296296296297,0.8869410150891633,0.8365888595581055,1568.2265781997703,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}"
K-Nearest Neighbors,8,0.7300380228136882,0.8246913580246914,0.75,0.7111111111111111,0.8428257887517148,0.18379497528076172,0.5539571000263095,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
LightGBM,64,0.7795275590551181,0.8617283950617284,0.8319327731092437,0.7333333333333333,0.908395061728395,0.6718044281005859,40.62958460021764,"{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31}"
Linear SVM,128,0.6282051282051282,0.7135802469135802,0.5536723163841808,0.725925925925926,0.7838408779149519,0.00154876708984375,1.9350438001565635,"{'C': 10, 'loss': 'hinge'}"
Logistic Regression,128,0.6134185303514377,0.7012345679012346,0.5393258426966292,0.7111111111111111,0.7831001371742112,0.0016765594482421875,0.6527312998659909,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}"
MLP Neural Network,16,0.746031746031746,0.8419753086419753,0.8034188034188035,0.6962962962962963,0.8814814814814814,0.06541061401367188,72.95142909977585,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant'}"
Naive Bayes,64,0.5664335664335665,0.6938271604938272,0.5364238410596026,0.6,0.763593964334705,0.0025386810302734375,0.06700569996610284,{'var_smoothing': 1e-09}
Random Forest,8,0.7058823529411765,0.8148148148148148,0.75,0.6666666666666666,0.8598902606310014,1.5335464477539062,21.510094000026584,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Ridge Classifier,128,0.6025641025641025,0.6938271604938272,0.5310734463276836,0.6962962962962963,0.7728943758573388,0.001194000244140625,0.914121899753809,"{'alpha': 10.0, 'solver': 'auto'}"
SVM (RBF),32,0.7491408934707904,0.8197530864197531,0.6987179487179487,0.8074074074074075,0.879698216735254,0.22838973999023438,2.8446101997978985,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
XGBoost,128,0.7453874538745388,0.8296296296296296,0.7426470588235294,0.7481481481481481,0.8804389574759947,0.2243671417236328,326.4980456000194,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 2, 'subsample': 0.8}"
