model_name,n_mfcc,f1,accuracy,precision,recall,roc_auc,model_size_mb,train_time_sec,inference_time_ms
LightGBM,64,0.7795275590551181,0.8617283950617284,0.8319327731092437,0.7333333333333333,0.908395061728395,0.6718044281005859,40.62958460021764,5.07009700872004
LightGBM,128,0.7649402390438247,0.854320987654321,0.8275862068965517,0.7111111111111111,0.9025240054869683,0.5718193054199219,64.84073279984295,4.524906985461712
SVM (RBF),32,0.7491408934707904,0.8197530864197531,0.6987179487179487,0.8074074074074075,0.879698216735254,0.22838973999023438,2.8446101997978985,18.136261012405157
Extra Trees,32,0.7489711934156379,0.8493827160493828,0.8425925925925926,0.674074074074074,0.89519890260631,5.19000244140625,4.537178799975663,53.84108697529882
LightGBM,32,0.7461538461538462,0.837037037037037,0.776,0.7185185185185186,0.904883401920439,0.6677207946777344,11.715118799824268,2.9630660032853484
MLP Neural Network,16,0.746031746031746,0.8419753086419753,0.8034188034188035,0.6962962962962963,0.8814814814814814,0.06541061401367188,72.95142909977585,0.3857100149616599
XGBoost,128,0.7453874538745388,0.8296296296296296,0.7426470588235294,0.7481481481481481,0.8804389574759947,0.2243671417236328,326.4980456000194,1.9718460319563749
SVM (RBF),8,0.7422680412371134,0.8148148148148148,0.6923076923076923,0.8,0.8731138545953361,0.06610298156738281,2.021600699983537,14.946027025580406
MLP Neural Network,32,0.7372262773722628,0.8222222222222222,0.7266187050359713,0.7481481481481481,0.884883401920439,0.08858489990234375,64.99214079976082,0.5849750153720379
XGBoost,32,0.7360594795539034,0.8246913580246914,0.7388059701492538,0.7333333333333333,0.88960219478738,0.26647090911865234,66.83623499982059,1.4455880038440228
