model_name,n_mfcc,recall,accuracy,precision,f1,roc_auc,model_size_mb,train_time_sec,best_params
AdaBoost,128,0.6,0.7802469135802469,0.6982758620689655,0.6454183266932271,0.8312482853223594,0.10683631896972656,31.046093500219285,"{'learning_rate': 1.0, 'n_estimators': 200}"
Decision Tree,64,0.8444444444444444,0.5802469135802469,0.43346007604562736,0.5728643216080402,0.7175582990397805,0.004807472229003906,1.1631624000146985,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}"
Extra Trees,32,0.7037037037037037,0.7851851851851852,0.6690140845070423,0.6859205776173285,0.8544032921810699,1.5698871612548828,2.998123399913311,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
Gradient Boosting,32,0.6518518518518519,0.8148148148148148,0.7586206896551724,0.701195219123506,0.8797805212620027,0.40905189514160156,50.61166379973292,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
K-Nearest Neighbors,32,0.7703703703703704,0.8074074074074075,0.6887417218543046,0.7272727272727273,0.8490672153635117,0.21075439453125,0.15673370007425547,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
LightGBM,8,0.7555555555555555,0.7753086419753087,0.6375,0.6915254237288135,0.8439506172839507,0.5367660522460938,9.367926700040698,"{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}"
Linear SVM,64,0.7407407407407407,0.6790123456790124,0.5128205128205128,0.6060606060606061,0.7668038408779149,0.00106048583984375,0.30012849997729063,"{'C': 1, 'loss': 'hinge'}"
Logistic Regression,64,0.725925925925926,0.6839506172839506,0.5185185185185185,0.6049382716049383,0.7709739368998628,0.0011882781982421875,0.1259023998863995,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}"
MLP Neural Network,32,0.7481481481481481,0.8222222222222222,0.7266187050359713,0.7372262773722628,0.884883401920439,0.08858489990234375,45.460373799782246,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant'}"
Naive Bayes,32,0.6518518518518519,0.6395061728395062,0.47058823529411764,0.546583850931677,0.7209053497942387,0.0015621185302734375,0.029331000056117773,{'var_smoothing': 1e-09}
Random Forest,8,0.6666666666666666,0.8148148148148148,0.75,0.7058823529411765,0.8598902606310014,1.5335464477539062,12.383466000203043,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Ridge Classifier,64,0.725925925925926,0.6641975308641975,0.49746192893401014,0.5903614457831325,0.7685048010973937,0.0010051727294921875,0.18907690001651645,"{'alpha': 10.0, 'solver': 'saga'}"
SVM (RBF),8,0.8,0.8148148148148148,0.6923076923076923,0.7422680412371134,0.8730864197530864,0.06612396240234375,1.0447754999622703,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
XGBoost,128,0.7777777777777778,0.8222222222222222,0.7142857142857143,0.7446808510638298,0.8821947873799726,0.11449527740478516,229.1640994003974,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}"
