n_mfcc,model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms,model_size_mb,best_params,cv_best_score,efficiency,size_efficiency,model_family
16,MLP Neural Network,0.8419753086419753,0.8034188034188035,0.6962962962962963,0.746031746031746,0.8814814814814814,51.35456630028784,0.11739699635654688,0.06541061401367188,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant'}",0.6962962962962962,0.014527076855101155,11.405187859694392,Neural Network
8,SVM (RBF),0.8148148148148148,0.6923076923076923,0.8,0.7422680412371134,0.8730864197530864,1.0447754999622703,5.724915014579892,0.06612396240234375,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7833333333333333,0.7104562949721006,11.225231958858615,SVM
8,K-Nearest Neighbors,0.8246913580246914,0.75,0.7111111111111111,0.7300380228136882,0.8428257887517148,0.31081039970740676,22.352296002209187,0.18379497528076172,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6814814814814815,2.348813536121697,3.972002225285413,Distance-Based
32,K-Nearest Neighbors,0.8074074074074075,0.6887417218543046,0.7703703703703704,0.7272727272727273,0.8490672153635117,0.15673370007425547,1.6119930101558566,0.21075439453125,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6925925925925925,4.640151331697261,3.4507905664302703,Distance-Based
64,Logistic Regression,0.6839506172839506,0.5185185185185185,0.725925925925926,0.6049382716049383,0.7709739368998628,0.1259023998863995,0.10563698597252369,0.0011882781982421875,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.688888888888889,4.804781063503954,508.6600195808409,Linear Models
32,Logistic Regression,0.6839506172839506,0.5195530726256983,0.6888888888888889,0.5923566878980892,0.7612345679012346,0.08037180034443736,0.11536900419741869,0.0009374618530273438,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6814814814814815,7.370113836516167,631.1995378258915,Linear Models
8,Ridge Classifier,0.6567901234567901,0.489247311827957,0.674074074074074,0.5669781931464174,0.727434842249657,0.054856499657034874,0.08754599839448929,0.0007333755493164062,"{'alpha': 0.1, 'solver': 'auto'}",0.6703703703703704,10.33547275561453,772.0548344429349,Linear Models
64,Naive Bayes,0.6938271604938272,0.5364238410596026,0.6,0.5664335664335665,0.763593964334705,0.030446999706327915,0.23680598475039005,0.0025386810302734375,{'var_smoothing': 1e-09},0.5851851851851851,18.60330963928137,223.03334933859026,Probabilistic
32,Naive Bayes,0.6395061728395062,0.47058823529411764,0.6518518518518519,0.546583850931677,0.7209053497942387,0.029331000056117773,0.2050520060583949,0.0015621185302734375,{'var_smoothing': 1e-09},0.6462962962962963,18.63438735462828,349.67524237337443,Probabilistic
8,Naive Bayes,0.725925925925926,0.7068965517241379,0.3037037037037037,0.42487046632124353,0.7283401920438958,0.027327800169587135,0.11632099281996489,0.000823974609375,{'var_smoothing': 1e-09},0.31666666666666665,15.546619818094348,515.0103548557997,Probabilistic
