model_name,n_mfcc,f1,accuracy,precision,recall,roc_auc,model_size_mb,train_time_sec,inference_time_ms
Decision Tree,64,0.5728643216080402,0.5802469135802469,0.43346007604562736,0.8444444444444444,0.7175582990397805,0.004807472229003906,1.1631624000146985,0.1328710000962019
Decision Tree,32,0.5633074935400517,0.582716049382716,0.43253968253968256,0.8074074074074075,0.713744855967078,0.004807472229003906,0.609935199841857,0.06982399616390467
SVM (RBF),8,0.7422680412371134,0.8148148148148148,0.6923076923076923,0.8,0.8730864197530864,0.06612396240234375,1.0447754999622703,5.724915014579892
XGBoost,128,0.7446808510638298,0.8222222222222222,0.7142857142857143,0.7777777777777778,0.8821947873799726,0.11449527740478516,229.1640994003974,1.3011209992691875
SVM (RBF),32,0.6933333333333334,0.7728395061728395,0.6303030303030303,0.7703703703703704,0.8545404663923184,0.2918243408203125,1.5368181997910142,8.823992968536913
K-Nearest Neighbors,32,0.7272727272727273,0.8074074074074075,0.6887417218543046,0.7703703703703704,0.8490672153635117,0.21075439453125,0.15673370007425547,1.6119930101558566
LightGBM,8,0.6915254237288135,0.7753086419753087,0.6375,0.7555555555555555,0.8439506172839507,0.5367660522460938,9.367926700040698,1.2170939892530441
MLP Neural Network,32,0.7372262773722628,0.8222222222222222,0.7266187050359713,0.7481481481481481,0.884883401920439,0.08858489990234375,45.460373799782246,0.1723949983716011
SVM (RBF),16,0.6578947368421053,0.7432098765432099,0.591715976331361,0.7407407407407407,0.8451165980795611,0.15042495727539062,1.4849318000487983,8.383636986836791
Linear SVM,64,0.6060606060606061,0.6790123456790124,0.5128205128205128,0.7407407407407407,0.7668038408779149,0.00106048583984375,0.30012849997729063,0.07726801559329033
